Date,Open,High,Low,Close,Volume
2008-02-02,9547.87,9547.87,9547.87,9547.87,435285575
2008-02-03,9565.39,9565.39,9565.39,9565.39,236106671
2008-02-04,9657.84,9657.84,9657.84,9657.84,263669294
2008-02-05,9659.91,9659.91,9659.91,9659.91,282316212
2008-02-06,9378.75,9378.75,9378.75,9378.75,383039620
2008-02-09,9054.7,9054.7,9054.7,9054.7,252629180
2008-02-10,8873.86,8873.86,8873.86,8873.86,314497400
2008-02-11,8818.43,8818.43,8818.43,8818.43,252557854
2008-02-12,9077.19,9077.19,9077.19,9077.19,233580878
2008-02-13,9107.06,9107.06,9107.06,9107.06,248762464
2008-02-16,9387.56,9387.56,9387.56,9387.56,230575402
2008-02-17,9490.05,9490.05,9490.05,9490.05,287052026
2008-02-18,9649.01,9649.01,9649.01,9649.01,384670430
2008-02-19,9740.29,9740.29,9740.29,9740.29,285713734
2008-02-20,9972.38,9972.38,9972.38,9972.38,294889797
2008-02-23,10194.21,10194.21,10194.21,10194.21,354521589
2008-02-24,10004.06,10004.06,10004.06,10004.06,328606002
2008-02-25,10210.5,10210.5,10210.5,10210.5,342061940
2008-02-26,10151.36,10151.36,10151.36,10151.36,337947106
2008-02-27,10146.16,10146.16,10146.16,10146.16,274403349
2008-03-01,10041.56,10041.56,10041.56,10041.56,279089182
2008-03-02,9760.42,9760.42,9760.42,9760.42,271062560
2008-03-03,9723.22,9723.22,9723.22,9723.22,202567120
2008-03-04,9902.52,9902.52,9902.52,9902.52,199470907
2008-03-05,9871.9,9871.9,9871.9,9871.9,229944978
2008-03-08,9797.84,9797.84,9797.84,9797.84,178052946
2008-03-09,9698.13,9698.13,9698.13,9698.13,149014254
2008-03-10,9600.38,9600.38,9600.38,9600.38,213332826
2008-03-11,9733.94,9733.94,9733.94,9733.94,172112094
2008-03-12,9735.98,9735.98,9735.98,9735.98,255359155
2008-03-15,9548.06,9548.06,9548.06,9548.06,150988991
2008-03-16,9515.3,9515.3,9515.3,9515.3,185604499
2008-03-17,9318.59,9318.59,9318.59,9318.59,160327969
2008-03-18,9393.12,9393.12,9393.12,9393.12,136407020
2008-03-19,9344.43,9344.43,9344.43,9344.43,215270510
2008-03-22,9259.54,9259.54,9259.54,9259.54,222438855
2008-03-23,9215.94,9215.94,9215.94,9215.94,127709583
2008-03-24,9186.73,9186.73,9186.73,9186.73,117745892
2008-03-25,9313.24,9313.24,9313.24,9313.24,179237823
2008-03-26,9221.95,9221.95,9221.95,9221.95,150733434
2008-03-29,8992.26,8992.26,8992.26,8992.26,109696218
2008-03-30,8906.2,8906.2,8906.2,8906.2,140279367
2008-03-31,8992.53,8992.53,8992.53,8992.53,130868398
2008-04-01,8980.55,8980.55,8980.55,8980.55,111172826
2008-04-02,9181.21,9181.21,9181.21,9181.21,199168824
2008-04-05,9181.21,9424.64,9181.21,9408.81,202721880
2008-04-06,9408.81,9456.17,9298.88,9307.06,193015728
2008-04-07,9307.06,9410.45,9194.24,9410.18,166634222
2008-04-08,9410.18,9495.07,9391.06,9423.58,185289532
2008-04-09,9423.58,9501.72,9365.39,9501.72,146176937
2008-04-12,9501.72,9566.32,9491.31,9552.63,190525550
2008-04-13,9552.63,9570.82,9489.13,9562.23,185038883
2008-04-14,9562.23,9621.22,9535.74,9604.2,167736959
2008-04-15,9604.2,9645.64,9511.14,9522.93,179205988
2008-04-16,9522.93,9661.66,9522.93,9630.37,216522469
2008-04-19,9630.37,9692.36,9494.27,9497.16,253746907
2008-04-20,9497.16,9522.79,9295.1,9521.61,258623873
2008-04-21,9521.61,9670.17,9521.61,9638.79,355121260
2008-04-22,9638.79,9693,9596.12,9692.96,309435642
2008-04-23,9692.96,9820.74,9675.57,9754.1,297349931
2008-04-26,9754.1,9915.02,9752.57,9902.74,288992812
2008-04-27,9902.74,9957.48,9746.67,9766.27,271276779
2008-04-28,9766.27,9908.82,9704.65,9907.12,218102529
2008-04-29,9907.12,10099.21,9907.12,10089.52,282711433
2008-04-30,10089.52,10098.76,9976.87,10066.16,269467795
2008-05-03,10066.16,10121.67,9973.95,10057.69,203977975
2008-05-04,10057.69,10064.34,9989.41,10055.23,200110278
2008-05-05,10055.23,10077.73,9964.45,10030.62,192043099
2008-05-06,10030.62,10048.56,9914,9926.63,245664754
2008-05-07,9926.63,9926.63,9692.88,9771.85,180319858
2008-05-10,9771.85,9777.69,9241,9502.96,233987092
2008-05-11,9502.96,9709.44,9502.03,9695.29,180542349
2008-05-12,9695.29,9749.34,9566.13,9615.05,174171423
2008-05-13,9615.05,9766.23,9511.71,9749.53,173693723
2008-05-14,9749.53,9815.14,9721.31,9783.19,184558221
2008-05-17,9783.19,9801.65,9640.37,9664.54,232571808
2008-05-18,9664.54,9716.54,9572.45,9646.44,172626297
2008-05-19,9646.44,9675.1,9547.99,9630.65,216103543
2008-05-20,9630.65,9706.02,9630.65,9673.25,183656866
2008-05-21,9673.25,9716.96,9623.13,9672.62,184208210
2008-05-24,9672.62,9698,9600.12,9665.78,232842137
2008-05-25,9665.78,9767.67,9634.13,9715.31,209561922
2008-05-26,9715.31,9724.83,9527,9553.26,183125679
2008-05-27,9553.26,9575.1,9456.49,9482.25,136398364
2008-05-28,9482.25,9510.2,9425.22,9491.31,135112051
2008-05-31,9491.31,9540.04,9477.02,9529.34,124293900
2008-06-01,9529.34,9560.23,9490.06,9503.28,115361783
2008-06-02,9503.28,9560.83,9462.61,9516.57,188382574
2008-06-03,9516.57,9525.36,9458.87,9501.92,945656109
2008-06-04,9501.92,9674.67,9501.92,9661.48,497292182
2008-06-07,9661.48,9842.3,9657.52,9765,374304480
2008-06-08,9765,9816.47,9696.19,9737.31,662894906
2008-06-09,9737.31,9839.17,9737.31,9777.04,382798346
2008-06-10,9777.04,9844.81,9732.34,9766.37,447785803
2008-06-11,9766.37,9782.57,9666.15,9688.45,389998925
2008-06-14,9688.45,9734.78,9679.09,9708.78,290566154
2008-06-15,9708.78,9745.63,9647.93,9687.09,301734731
